index  confidence   rules
 1     1.000        ['whipped/sour cream', 'flour', 'root vegetables']=>['whole milk']
 2     0.938        ['cream cheese', 'other vegetables', 'sugar']=>['whole milk']
 3     0.938        ['tropical fruit', 'yogurt', 'root vegetables', 'sausage']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['tropical fruit', 'whipped/sour cream', 'fruit/vegetable juice']=>['other vegetables']
 6     0.900        ['whipped/sour cream', 'butter', 'pip fruit']=>['whole milk']
 7     0.900        ['tropical fruit', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 8     0.895        ['tropical fruit', 'yogurt', 'root vegetables', 'butter']=>['whole milk']
 9     0.889        ['citrus fruit', 'cream cheese', 'domestic eggs']=>['whole milk']
 10    0.889        ['tropical fruit', 'ham', 'pip fruit']=>['other vegetables']
 11    0.889        ['whipped/sour cream', 'margarine', 'rolls/buns']=>['whole milk']
 12    0.889        ['tropical fruit', 'root vegetables', 'onions']=>['other vegetables']
 13    0.886        ['citrus fruit', 'whole milk', 'tropical fruit', 'root vegetables']=>['other vegetables']
 14    0.882        ['citrus fruit', 'root vegetables', 'pastry']=>['other vegetables']
 15    0.882        ['citrus fruit', 'pastry', 'whipped/sour cream']=>['whole milk']
 16    0.882        ['tropical fruit', 'herbs', 'root vegetables']=>['whole milk']
 17    0.882        ['yogurt', 'root vegetables', 'butter milk']=>['whole milk']
 18    0.882        ['whipped/sour cream', 'whole milk', 'yogurt', 'frozen vegetables']=>['other vegetables']
 19    0.882        ['whole milk', 'yogurt', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 20    0.882        ['tropical fruit', 'beef', 'rolls/buns', 'other vegetables']=>['whole milk']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['tropical fruit', 'white bread', 'whipped/sour cream']=>['other vegetables']
 24    0.850        ['cream cheese', 'curd', 'root vegetables']=>['other vegetables']
 25    0.850        ['tropical fruit', 'root vegetables', 'oil']=>['other vegetables']
 26    0.850        ['root vegetables', 'butter', 'onions']=>['whole milk']
 27    0.850        ['whipped/sour cream', 'root vegetables', 'other vegetables', 'pip fruit']=>['whole milk']
 28    0.846        ['butter', 'pork', 'other vegetables']=>['whole milk']
 29    0.842        ['whipped/sour cream', 'butter', 'domestic eggs']=>['whole milk']
 30    0.842        ['citrus fruit', 'frozen vegetables', 'fruit/vegetable juice']=>['whole milk']
 31    0.842        ['waffles', 'root vegetables', 'rolls/buns']=>['whole milk']
 32    0.842        ['citrus fruit', 'root vegetables', 'newspapers']=>['other vegetables']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['brown bread', 'root vegetables', 'domestic eggs']=>['whole milk']
 35    0.833        ['herbs', 'root vegetables', 'rolls/buns']=>['whole milk']
 36    0.833        ['rice', 'whole milk', 'yogurt']=>['other vegetables']
 37    0.833        ['tropical fruit', 'yogurt', 'root vegetables', 'domestic eggs']=>['whole milk']
 38    0.833        ['other vegetables', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 39    0.826        ['shopping bags', 'herbs']=>['other vegetables']
 40    0.826        ['rice', 'yogurt']=>['other vegetables']
 41    0.824        ['curd', 'other vegetables', 'domestic eggs']=>['whole milk']
 42    0.821        ['tropical fruit', 'herbs']=>['whole milk']
 43    0.821        ['citrus fruit', 'yogurt', 'root vegetables', 'other vegetables']=>['whole milk']
 44    0.818        ['whipped/sour cream', 'curd', 'pip fruit']=>['whole milk']
 45    0.818        ['rice', 'root vegetables', 'other vegetables']=>['whole milk']
 46    0.815        ['tropical fruit', 'yogurt', 'root vegetables', 'rolls/buns']=>['whole milk']
 47    0.810        ['hamburger meat', 'bottled beer']=>['whole milk']
 48    0.810        ['cereals', 'yogurt']=>['whole milk']
 49    0.810        ['root vegetables', 'butter', 'pip fruit']=>['whole milk']
 50    0.810        ['whipped/sour cream', 'long life bakery product', 'yogurt']=>['whole milk']
 51    0.810        ['whipped/sour cream', 'waffles', 'rolls/buns']=>['whole milk']
 52    0.810        ['citrus fruit', 'tropical fruit', 'root vegetables', 'yogurt']=>['other vegetables']
 53    0.806        ['curd', 'hamburger meat']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['citrus fruit', 'tropical fruit', 'butter']=>['whole milk']
 56    0.800        ['curd', 'other vegetables', 'hamburger meat']=>['whole milk']
 57    0.800        ['tropical fruit', 'whole milk', 'grapes']=>['other vegetables']
 58    0.800        ['tropical fruit', 'frozen meals', 'yogurt']=>['whole milk']
 59    0.800        ['tropical fruit', 'whole milk', 'whipped/sour cream', 'pip fruit']=>['other vegetables']
 60    0.800        ['whole milk', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 61    0.793        ['curd', 'butter', 'yogurt']=>['whole milk']
 62    0.793        ['yogurt', 'root vegetables', 'other vegetables', 'pip fruit']=>['whole milk']
 63    0.792        ['tropical fruit', 'brown bread', 'pip fruit']=>['other vegetables']
 64    0.789        ['rice', 'tropical fruit']=>['whole milk']
 65    0.789        ['whipped/sour cream', 'detergent']=>['whole milk']
 66    0.789        ['sliced cheese', 'onions']=>['other vegetables']
 67    0.789        ['tropical fruit', 'curd', 'butter']=>['yogurt']
 68    0.789        ['tropical fruit', 'soft cheese', 'yogurt']=>['whole milk']
 69    0.789        ['tropical fruit', 'sausage', 'newspapers']=>['whole milk']
 70    0.789        ['oil', 'yogurt', 'root vegetables']=>['whole milk']
 71    0.789        ['brown bread', 'beef', 'other vegetables']=>['whole milk']
 72    0.789        ['yogurt', 'root vegetables', 'butter']=>['whole milk']
 73    0.789        ['rice', 'yogurt', 'other vegetables']=>['whole milk']
 74    0.789        ['whipped/sour cream', 'domestic eggs', 'pip fruit']=>['whole milk']
 75    0.789        ['chocolate', 'root vegetables', 'butter']=>['whole milk']
 76    0.789        ['whole milk', 'ham', 'pip fruit']=>['other vegetables']
 77    0.789        ['tropical fruit', 'yogurt', 'oil']=>['other vegetables']
 78    0.789        ['yogurt', 'root vegetables', 'other vegetables', 'frozen vegetables']=>['whole milk']
 79    0.789        ['tropical fruit', 'whole milk', 'pastry', 'rolls/buns']=>['yogurt']
 80    0.789        ['tropical fruit', 'root vegetables', 'other vegetables', 'domestic eggs']=>['whole milk']
 81    0.786        ['citrus fruit', 'tropical fruit', 'root vegetables']=>['other vegetables']
 82    0.783        ['rice', 'yogurt']=>['whole milk']
 83    0.783        ['tropical fruit', 'butter', 'domestic eggs']=>['whole milk']
 84    0.783        ['citrus fruit', 'tropical fruit', 'domestic eggs']=>['whole milk']
 85    0.783        ['butter', 'other vegetables', 'onions']=>['whole milk']
 86    0.783        ['curd', 'root vegetables', 'domestic eggs']=>['whole milk']
 87    0.783        ['citrus fruit', 'whole milk', 'onions']=>['other vegetables']
 88    0.783        ['other vegetables', 'sugar', 'domestic eggs']=>['whole milk']
 89    0.783        ['butter', 'hygiene articles', 'other vegetables']=>['whole milk']
 90    0.783        ['whole milk', 'soft cheese', 'root vegetables']=>['other vegetables']
 91    0.783        ['tropical fruit', 'root vegetables', 'chicken']=>['other vegetables']
 92    0.781        ['tropical fruit', 'root vegetables', 'fruit/vegetable juice']=>['other vegetables']
 93    0.778        ['whipped/sour cream', 'whole milk', 'onions']=>['other vegetables']
 94    0.778        ['tropical fruit', 'beef', 'rolls/buns']=>['whole milk']
 95    0.775        ['brown bread', 'root vegetables', 'other vegetables']=>['whole milk']
 96    0.774        ['rice', 'root vegetables']=>['whole milk']
 97    0.774        ['whole milk', 'root vegetables', 'sliced cheese']=>['other vegetables']
 98    0.774        ['citrus fruit', 'tropical fruit', 'other vegetables', 'yogurt']=>['whole milk']
 99    0.774        ['tropical fruit', 'whole milk', 'root vegetables', 'pip fruit']=>['other vegetables']
